SYMBOL,avg -log10(p)
ACTC1,2.189015178
CD19,2.185559279
GALNT14,1.78771461
PIP5KL1,2.184947175
GPR151,2.184415611
C1orf162,2.183188855
MRPL58,2.182071218
LOC100506422,2.178132892
ODF2L,2.177701129
GOLT1B,2.176310633
OR10W1,2.173990022
OR8H1,2.173711344
WIZ,2.17364656
CTC1,2.171430322
GABRR1,2.168379745
SLC25A12,2.168264564
PSMD9,2.167970353
RBPMS,2.167727459
ENKD1,2.166597871
LOC728715,2.165502999
NDUFC2,2.028973848
PRR14L,2.162916849
DPM2,2.157983952
MROH9,2.157103821
PCDH10,2.155827372
OR10Q1,1.965457654
RANGRF,2.154684867
TRAF3IP2,2.153675261
HACD2,2.029839296
BBX,2.152026544
C9orf139,2.148968033
OR5T1,2.148949673
BNIP3,1.977393175
IL12RB2,2.144214413
FAM102A,2.142432324
ZNF780B,2.141950304
TSEN15,2.140441427
KCTD14,1.751478975
CRB2,1.825391851
KSR1,2.138620935
SLC10A7,1.847447219
CNTN1,2.133618131
FZD8,2.133381896
PKIB,1.939115282
NIM1K,2.132768285
CLK2,2.13258555
VRK1,1.927869813
PIP5K1B,1.747031963
PARVG,2.129075488
C10orf55,2.127069101
ANKRD29,2.126627077
POLR1A,2.125825602
PLAU,2.125153041
HMX1,2.124996646
EHMT2,2.124765054
UNC93A,2.122524989
EBPL,2.119260701
SOCS1,2.118832259
TM6SF1,2.025541772
RAB3D,1.711912519
CCDC127,2.021817209
SEC23B,2.11598673
RABEP2,2.115442516
ZFC3H1,2.114118843
LPXN,1.936192169
C9orf163,2.112180226
ADD1,2.112073403
MAP1LC3A,2.111388112
CAPN12,2.00807239
SMN2,2.108072466
HIBADH,2.106437959
LST1,2.102526863
AREL1,2.102345423
EPHB2,2.102125596
OR2B2,2.101719211
OR51F2,2.100546122
HEATR1,2.098427262
FAM228A,2.09727932
FBXL22,2.00236364
ZNF554,2.09530068
EPHX2,2.094522539
MACROD2,2.094484748
C9orf64,1.844449126
IL5,2.093912889
FYN,2.093573367
ADAM11,2.093164138
KCTD17,2.091740229
C1orf21,2.089460969
PLEKHG4,2.089034269
MYO3A,2.087942762
GSS,2.087857687
IL36G,2.087825788
IQCA1L,2.08757068
GLB1L2,2.083603961
TMEM205,1.784333423
C2orf91,1.931415885
RAB21,2.081864774
RCOR2,2.081267388
PDCD2L,1.930025153
DTWD2,2.079011036
ADGRE3,2.078912067
TMEM199,2.07810033
SLC25A35,1.928660968
ZRANB3,2.076916669
CBLN3,2.076652344
PEA15,2.076020688
PHC2,2.075126551
GPIHBP1,2.074404317
SLC2A1,1.833257622
ANKRD40,2.073739892
MCM3AP,2.071793681
LAMA3,2.071773187
HBZ,1.922046153
DEPDC1B,1.929939984
EGFL8,2.070805944
PPP4R3B,2.06650765
GNB1,2.066441854
ELOA,2.066391248
PITHD1,2.065244078
PPL,2.06469431
STK32C,2.064603589
MTX1,2.062241457
KLC1,1.713233145
METTL15,2.060945242
PPP1R9B,2.060605563
RBBP9,2.059533322
PSMB9,2.058806703
NUDT21,2.057530599
RIMS2,2.056965744
HOMER1,1.962524882
ADM2,2.055571618
CREB3L2,2.055236115
ERI1,2.054826954
SELENOT,2.054413256
HS3ST5,2.054221315
C16orf95,2.052875198
NT5C2,2.051332792
HOMER2,1.814365765
ZKSCAN4,1.85989774
OR10AG1,2.047473928
OR5F1,2.046863937
FXR2,2.046394923
SNX29,2.046365929
SLC38A6,2.043605834
ASB10,2.04331783
ATP1B2,2.042253876
CAVIN1,1.992444905
CTSB,2.038303703
CYHR1,2.036920839
KRTCAP2,2.036297152
CEP68,2.036282987
NBPF6,2.035353874
OXR1,2.035245528
ECT2L,2.03308427
DBF4B,2.03186743
FKBP10,1.973420558
WDPCP,2.03077052
ZNF682,2.029620576
CNPY4,2.029304526
DENND5A,2.028858729
FAM189B,2.028571062
UPF3A,2.02813065
PKLR,2.028075051
NUDT2,1.926746683
PIK3IP1,2.025051009
CASQ1,2.024917606
TTC29,2.024600363
GPR161,2.023828912
ACTBL2,2.021965642
ILF2,2.021039276
SPRR4,2.020847861
PLEC,2.02047894
ATP6V1G2,2.019632974
TH,2.018752374
OGFOD1,2.017982179
SLC2A10,2.016734647
ARL15,2.013904859
HDGFL3,1.846431918
GPR180,2.013080541
SELENOK,2.013062639
LTBR,2.011699735
SOX15,2.010296621
CYP4X1,2.009838807
RNF166,2.009204
CA2,2.008605557
CBLN1,2.008468253
FBXW8,2.007128499
FRRS1,2.006753401
NETO2,2.006057021
DGKZ,2.005652047
CASP10,2.005146361
HM13,2.00327386
PITPNM1,2.002604877
OR5I1,2.001967461
C22orf24,2.001383257
NUDT15,2.000882514
AOC2,2.000269346
C16orf97,1.999175623
C11orf42,1.998785675
ZNF558,1.998482623
DENND1A,1.997229372
