SYMBOL,avg -log10(p)
SQSTM1,4.082427903
RASGEF1C,2.553827314
MAPK9,2.783860499
GFPT2,1.778611847
FLT4,1.426443821
ZFP62,1.418596538
EXOC2,3.067522042
SERPINB1,4.74865384
SERPINB9,1.373947204
CAGE1,2.006722525
RIOK1,1.491160662
CAP2,1.661882309
FAM8A1,2.101993754
NUP153,1.887763769
SOX4,2.306712843
ACOT13,1.705996974
GMNN,2.482540173
H3C3,1.991101885
HFE,1.319700755
H1-6,1.368353337
H2BC10,1.489656099
PRSS16,4.325800445
ZNF165,2.204551017
ZSCAN16,2.059981845
ZKSCAN8,2.026682761
ZSCAN9,5.425297542
ZKSCAN4,5.054610206
NKAPL,4.260862959
ZSCAN26,5.324359115
PGBD1,4.634362284
ZSCAN31,4.942676295
ZKSCAN3,4.374214405
ZSCAN12,3.971835581
ZSCAN23,3.550845707
GPX6,2.425447891
GPX5,1.989106687
ZBED9,4.263292829
TRIM27,3.875137272
ZNF311,5.527536103
OR2J3,2.261687273
OR2J2,2.554193484
OR14J1,1.318152983
OR5V1,3.27186545
OR12D3,1.951014697
OR11A1,2.404294397
OR10C1,1.992124256
OR2H1,1.963091777
MAS1L,1.365351464
UBD,1.664379492
OR2H2,1.929481903
GABBR1,2.123909232
ZFP57,2.528796331
HLA-G,1.547217212
POLR1H,1.465466244
TRIM39,1.753378337
TRIM39-RPP21,2.347850395
RPP21,3.398581066
HLA-E,5.581665558
GNL1,5.711884975
PRR3,5.091139827
ABCF1,4.385081702
TUBB,1.504192113
FLOT1,2.417425335
IER3,2.757309526
MUC21,1.90517962
MUC22,2.589458952
PSORS1C1,4.081209789
CDSN,2.510984217
PSORS1C2,3.022468441
CCHCR1,1.957897232
POU5F1,2.43941196
MICA,3.931146506
MICB,2.763171149
MCCD1,1.896903524
DDX39B,1.721913075
ATP6V1G2,1.337374365
NFKBIL1,1.779368981
LTA,2.124603012
TNF,2.543148315
LTB,1.334259578
LST1,2.286996947
NCR3,2.221082173
PRRC2A,3.027724823
BAG6,4.08995325
APOM,3.400603944
GPANK1,3.151761596
CSNK2B,2.529710337
